Question,Workflow Step,Count,Created At
How do I add subtitles?,metadata,4,2026-06-04 12:32:58
How do I assign royalties?,rights,1,2026-06-04 12:57:33
How do I upload trailer thumbnails?,assets,1,2026-06-04 12:57:50
How do I add metadata?,metadata,1,2026-06-11 20:28:33
where is banglore?,metadata,1,2026-06-11 20:30:23
how do i reach pune?,,1,2026-06-12 16:36:44
Who is the Prime Minister of India?,,1,2026-06-18 14:47:12
how do i add title?,,1,2026-06-18 15:24:58
